docId;query_id;label
doc_17;1;1
doc_52;1;1
doc_79;1;1
doc_159;1;1
doc_252;1;1
doc_946;1;1
doc_1185;1;1
doc_1288;1;1
doc_1601;1;1
doc_1666;1;1
doc_259;1;0
doc_422;1;0
doc_24638;1;0
doc_24587;1;0
doc_24255;1;0
doc_24105;1;0
doc_24103;1;0
doc_24068;1;0
doc_23987;1;0
doc_23911;1;0
doc_59;2;1
doc_61;2;1
doc_74;2;1
doc_86;2;1
doc_140;2;1
doc_333;2;1
doc_487;2;1
doc_490;2;1
doc_671;2;1
doc_678;2;1
doc_825;2;0
doc_832;2;0
doc_913;2;0
doc_1032;2;0
doc_1102;2;0
doc_1144;2;0
doc_1250;2;0
doc_1304;2;0
doc_1308;2;0
doc_1359;2;0
doc_77;3;1
doc_18852;3;1
doc_20968;3;1
doc_21064;3;1
doc_21508;3;1
doc_21859;3;1
doc_22332;3;1
doc_22433;3;1
doc_22474;3;1
doc_24074;3;1
doc_11;3;0
doc_13289;3;0
doc_19241;3;0
doc_13440;3;0
doc_13567;3;0
doc_13604;3;0
doc_13608;3;0
doc_13677;3;0
doc_13719;3;0
doc_13744;3;0
doc_560;4;1
doc_861;4;1
doc_876;4;1
doc_2338,4;1
doc_2824;4;1
doc_2916;4;1
doc_3273;4;1
doc_3345;4;1
doc_3493;4;1
doc_3842;4;1
doc_3478;4;0
doc_3417;4;0
doc_3509;4;0
doc_3643;4;0
doc_32872;4;0
doc_32881;4;0
doc_32885;4;0
doc_32902;4;0
doc_33011;4;0
doc_33107;4;0
doc_31050;5;1
doc_31029;5;1
doc_31066;5;1
doc_31082;5;1
doc_31257;5;1
doc_31302;5;1
doc_31476;5;1
doc_31537;5;1
doc_31565;5;1
doc_31626;5;1
doc_31766;5;0
doc_31802;5;0
doc_31821;5;0
doc_31851;5;0
doc_31899;5;0
doc_31942;5;0
doc_32027;5;0
doc_32078;5;0
doc_32145;5;0
doc_32203;5;0
;;
