docId;query_id;label
doc_156;1;0
doc_1039;1;0
doc_1047;1;1
doc_1685;1;0
doc_2100;1;1
doc_2732;1;0
doc_3287;1;1
doc_3474;1;1
doc_3497;1;0
doc_3570;1;1
doc_3954;1;0
doc_4053;1;1
doc_5480;1;1
doc_5512;1;1
doc_5751;1;1
doc_5899;1;0
doc_6477;1;1
doc_8066;1;1
doc_8819;1;0
doc_9180;1;0
doc_9696;1;1
doc_9850;1;1
doc_9937;1;1
doc_10048;1;1
doc_10272;1;0
doc_11229;1;0
doc_11298;1;0
doc_12080;1;0
doc_16436;1;0
doc_23088;1;0
doc_103;2;1
doc_1566;2;1
doc_1651;2;1
doc_1666;2;1
doc_1785;2;1
doc_2528;2;1
doc_2653;2;1
doc_3005;2;1
doc_3076;2;1
doc_3116;2;1
doc_3646;2;1
doc_3682;2;1
doc_3927;2;1
doc_4176;2;1
doc_4304;2;1
doc_43341;2;0
doc_43540;2;0
doc_12;2;0
doc_17;2;0
doc_18;2;0
doc_19;2;0
doc_108;2;0
doc_120;2;0
doc_162;2;0
doc_189;2;0
doc_285;2;0
doc_319;2;0
doc_427;2;0
doc_460;2;0
doc_748;2;0
;;
